SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SDP_RC;LAM;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.29E-01;3.58E-01;5.87E-01;1.00E+00;1.00E+00
SDP_RC;MEA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;1.73E-01;2.93E-01;6.50E-01;6.50E-01
SDP_RC;NEN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;5.61E-02;1.40E-01;2.77E-01;4.13E-01;9.86E-01;9.86E-01
SDP_RC;NES;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;1.13E-01;1.74E-01;3.46E-01;3.46E-01
SDP_RC;OAS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.41E-01;4.04E-01;6.67E-01;1.00E+00;1.00E+00
SDP_RC;REF;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;7.24E-02;1.96E-01;3.20E-01;7.43E-01;7.43E-01
SDP_RC;SSA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;6.21E-02;2.29E-01;3.96E-01;8.47E-01;8.47E-01
SDP_RC;UKI;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;2.50E-02;1.17E-01;2.30E-01;3.43E-01;7.43E-01;7.43E-01
SDP_RC;USA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;3.25E-01;5.38E-01;1.00E+00;1.00E+00
SSP1;CAZ;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;4.98E-01;8.85E-01;1.00E+00;1.00E+00
